OBJECTID,VALUE,long,lat,X,Y
10358,365019,-122.2915784,47.61568198,-122.2915784,47.61568198
10359,706577,-122.2776172,47.63373284,-122.2776172,47.63373284
10360,5767000,-122.3413998,47.63341689,-122.3413998,47.63341689
10361,0,-122.3413998,47.63341689,-122.3413998,47.63341689
10362,338486,-122.378307,47.67580308,-122.378307,47.67580308
10363,0,-122.378307,47.67580308,-122.378307,47.67580308
10364,377146,-122.3110034,47.59715554,-122.3110034,47.59715554
10365,84453,-122.3051021,47.61573364,-122.3051021,47.61573364
10366,0,-122.2878522,47.61623759,-122.2878522,47.61623759
10367,274469,-122.310039,47.59681375,-122.310039,47.59681375
10368,181051,-122.3102594,47.59630615,-122.3102594,47.59630615
10369,20000,-122.3102594,47.59630615,-122.3102594,47.59630615
10370,14665160,-122.3178413,47.61619123,-122.3178413,47.61619123
10371,0,-122.3100295,47.59682841,-122.3100295,47.59682841
10372,654123,-122.3130391,47.61627625,-122.3130391,47.61627625
10373,0,-122.3130391,47.61627625,-122.3130391,47.61627625
10374,38904685,-122.3341811,47.61361013,-122.3341811,47.61361012
10375,75000,-122.3575964,47.63459676,-122.3575964,47.63459676
10376,11078637,-122.3286957,47.61448534,-122.3286957,47.61448534
10377,11078637,-122.3286957,47.61448534,-122.3286957,47.61448534
10378,1403870,-122.3118319,47.61135673,-122.3118319,47.61135673
10379,225542,-122.3383814,47.68669502,-122.3383814,47.68669502
10380,156394,-122.3112969,47.69562968,-122.3112969,47.69562968
10381,248564,-122.3770994,47.6742636,-122.3770994,47.6742636
10382,0,-122.3776877,47.69446982,-122.3776877,47.69446982
10383,300786,-122.3057839,47.61988021,-122.3057839,47.61988021
10384,0,-122.3057839,47.61988021,-122.3057839,47.61988021
10385,21868,-122.3603367,47.64704374,-122.3603367,47.64704374
10386,631698,-122.2880146,47.63298295,-122.2880146,47.63298295
10387,0,-122.2880146,47.63298295,-122.2880146,47.63298295
10388,70000,-122.3858725,47.5896849,-122.3858725,47.5896849
10389,31850216,-122.3250718,47.63299674,-122.3250718,47.63299674
10390,0,-122.3250718,47.63299674,-122.3250718,47.63299674
10391,100000,-122.3119669,47.73232851,-122.3119669,47.73232851
10392,226859,-122.3115933,47.69142108,-122.3115933,47.69142108
10393,0,-122.3115933,47.69142108,-122.3115933,47.69142108
10394,77883,-122.3773078,47.67340213,-122.3773078,47.67340213
10395,1250577,-122.377596,47.69252958,-122.377596,47.69252958
10396,1250577,-122.377596,47.69252958,-122.377596,47.69252958
10397,138134,-122.3151495,47.58931581,-122.3151495,47.58931581
10398,416468,-122.3093759,47.6147256,-122.3093759,47.6147256
10399,0,-122.3093759,47.6147256,-122.3093759,47.6147256
10400,289508,-122.304449,47.58886958,-122.304449,47.58886958
10401,5000,-122.3396224,47.60975686,-122.3396224,47.60975686
10402,40863967,-122.3396224,47.60975686,-122.3396224,47.60975686
10403,90000,-122.3694236,47.63302288,-122.3694236,47.63302288
10404,0,-122.3282371,47.61473775,-122.3282371,47.61473775
